DATE,AGE,SOCIAL MEDIA USAGE,MAIN SOCIAL MEDIA,CONFIDENCE,photo1,photo2,photo3,photo4,photo5,photo6,photo7,CONSENT
26/12/2025 21:27:09,57,1-3 hours,Instagram,1,AI generated,Real photo,Real photo,AI generated,Right Picture,Right Picture,Right Picture,"Yes, I accept"
26/12/2025 21:28:46,37,1-3 hours,Instagram,2,Real photo,Real photo,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
26/12/2025 21:35:47,56,Less than 1h,Other,1,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
26/12/2025 23:51:10,22,3-5 hours,Instagram,4,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
28/12/2025 15:30:06,20,3-5 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
28/12/2025 15:30:44,22,1-3 hours,Instagram,4,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
28/12/2025 15:31:04,18,3-5 hours,Other,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
28/12/2025 15:32:15,14,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
28/12/2025 15:34:52,22,3-5 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
28/12/2025 15:41:11,20,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 1:48:18,20,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 8:59:14,60,1-3 hours,Instagram,1,Real photo,Real photo,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
29/12/2025 11:37:05,20,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
29/12/2025 16:26:42,31,1-3 hours,Facebook,4,AI generated,Real photo,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
29/12/2025 16:29:27,33,3-5 hours,Facebook,1,AI generated,Real photo,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
